accuracy,loss,val_accuracy,val_loss,learning_rate
0.6945832371711731,0.7678043842315674,0.24558138847351074,2.5920441150665283,0.0010000000474974513
0.7725364565849304,0.5849688649177551,0.2474418580532074,4.316636562347412,0.0010000000474974513
0.8161103129386902,0.4736845791339874,0.44837209582328796,3.118313789367676,0.0010000000474974513
0.8482910394668579,0.43158718943595886,0.7432557940483093,0.7704272270202637,0.0010000000474974513
0.8512892127037048,0.4066990613937378,0.6316279172897339,1.0045993328094482,0.0010000000474974513
0.8476913571357727,0.39098885655403137,0.6762790679931641,0.9621649980545044,0.0010000000474974513
0.8794723153114319,0.3372635245323181,0.6288372278213501,1.126460075378418,0.0010000000474974513
0.876474142074585,0.33765238523483276,0.85395348072052,0.4551858901977539,0.0010000000474974513
0.887867271900177,0.2982129454612732,0.27906978130340576,10.047220230102539,0.0010000000474974513
0.8924645185470581,0.3106042146682739,0.32744187116622925,2.9567348957061768,0.0010000000474974513
0.9028582572937012,0.26313644647598267,0.8986046314239502,0.301985502243042,0.0010000000474974513
0.9112532734870911,0.24711422622203827,0.734883725643158,0.9426005482673645,0.0010000000474974513
0.9196482300758362,0.22112858295440674,0.4948837161064148,2.2456071376800537,0.0010000000474974513
0.9226464033126831,0.21087847650051117,0.8474418520927429,0.4246836304664612,0.0010000000474974513
0.9338396787643433,0.18154901266098022,0.7739534974098206,0.6619911789894104,0.0010000000474974513
0.9484309554100037,0.1443619281053543,0.9237209558486938,0.20682507753372192,0.0005000000237487257
0.9536278247833252,0.12700167298316956,0.9079069495201111,0.27991312742233276,0.0005000000237487257
0.9630221724510193,0.11685030907392502,0.8958139419555664,0.2777312099933624,0.0005000000237487257
0.9652208685874939,0.10481290519237518,0.885581374168396,0.33362293243408203,0.0005000000237487257
0.9674195647239685,0.09703995287418365,0.8437209129333496,0.4674605131149292,0.0005000000237487257
0.976414144039154,0.07336790859699249,0.8846511840820312,0.38411304354667664,0.0002500000118743628
0.9796122312545776,0.0678364560008049,0.9004651308059692,0.362514853477478,0.0002500000118743628
0.9766140580177307,0.07010195404291153,0.950697660446167,0.17424042522907257,0.0002500000118743628
0.977413535118103,0.06382620334625244,0.8818604946136475,0.4256002902984619,0.0002500000118743628
0.981211245059967,0.05607904866337776,0.8893023133277893,0.3707302212715149,0.0002500000118743628
0.9804117679595947,0.058433648198843,0.9469767212867737,0.18194864690303802,0.0002500000118743628
0.9818109273910522,0.05471346154808998,0.8734883666038513,0.36140507459640503,0.0002500000118743628
0.9850090146064758,0.04563566669821739,0.9432558417320251,0.2196601927280426,0.0001250000059371814
0.9888067245483398,0.03743535652756691,0.9674418568611145,0.11729377508163452,0.0001250000059371814
0.9874075651168823,0.0380786769092083,0.9423255920410156,0.21370847523212433,0.0001250000059371814
0.9868079423904419,0.04008294269442558,0.9655814170837402,0.12851375341415405,0.0001250000059371814
0.9874075651168823,0.03857342153787613,0.9720930457115173,0.10730736702680588,0.0001250000059371814
0.9914051294326782,0.0320325568318367,0.9423255920410156,0.2241632044315338,0.0001250000059371814
0.9868079423904419,0.03560036048293114,0.9441860318183899,0.22142170369625092,0.0001250000059371814
0.9880071878433228,0.033061202615499496,0.966511607170105,0.12069667875766754,0.0001250000059371814
0.9914051294326782,0.029161855578422546,0.9553488492965698,0.1543407291173935,0.0001250000059371814
0.9892064929008484,0.03157854825258255,0.9748837351799011,0.11597912758588791,6.25000029685907e-05
0.993403971195221,0.026093600317835808,0.966511607170105,0.148373544216156,6.25000029685907e-05
0.992404580116272,0.025973234325647354,0.968372106552124,0.12003026157617569,6.25000029685907e-05
0.9912052750587463,0.02825472317636013,0.9646511673927307,0.15323470532894135,6.25000029685907e-05
