,precision,recall,f1-score,support
glioma,0.9214659685863874,0.7213114754098361,0.8091954022988506,244.0
meningioma,0.7596153846153846,0.5917602996254682,0.6652631578947369,267.0
notumor,0.9049079754601227,0.9833333333333333,0.9424920127795527,300.0
pituitary,0.7428571428571429,0.9848484848484849,0.8469055374592834,264.0
accuracy,0.8269767441860465,0.8269767441860465,0.8269767441860465,0.8269767441860465
macro avg,0.8322116178797594,0.8203133983042806,0.8159640276081058,1075.0
weighted avg,0.8327829603532174,0.8269767441860465,0.8199066112017962,1075.0
