,precision,recall,f1-score,support
glioma,0.933184855233853,0.8603696098562629,0.8952991452991453,487.0
meningioma,0.8667992047713717,0.8180112570356473,0.8416988416988417,533.0
notumor,0.9136577708006279,0.97,0.9409862570735651,600.0
pituitary,0.9051878354203936,0.9583333333333334,0.9310027598896045,528.0
accuracy,0.904562383612663,0.904562383612663,0.904562383612663,0.904562383612663
macro avg,0.9047074165565615,0.9016785500563108,0.9022467509902892,2148.0
weighted avg,0.9043756239405829,0.904562383612663,0.9035369543072704,2148.0
