Imagem;mse;psnr;brisque
gl-0851.jpg;977.6074447631836;18.229158606788637;17.583832161987374
gl-0618.jpg;618.9519996643066;20.21423390505668;17.515365127904005
gl-1151.jpg;1105.0143394470215;17.697124470980857;34.72735186249221
gl-0963.jpg;215.5150489807129;24.796027594055474;21.289575589026953
gl-0014.jpg;1023.5396881103516;18.02975673622052;29.798005891352858
gl-1052.jpg;1031.138759613037;17.9976324895071;37.026903623681136
gl-0559.jpg;423.5985450744629;21.861259010925608;13.222879449775718
gl-1407.jpg;515.8712005615234;21.00539077589157;13.064791702712427
gl-0190.jpg;761.0760269165039;19.316523185242684;22.964932241982268
gl-0273.jpg;901.3837547302246;18.581706341737735;9.406048473507298
gl-1013.jpg;503.9434585571289;21.10698548656775;12.869083971107756
gl-0850.jpg;947.4930305480957;18.36504336745622;21.750992576433163
gl-0077.jpg;1016.5086669921875;18.059692749810786;24.25515189867903
gl-0565.jpg;847.9989356994629;18.846850536821165;7.27619810623375
gl-1501.jpg;811.2953643798828;19.039013663765466;23.518495987573914
gl-1163.jpg;887.6424102783203;18.648423168462028;18.48300015783363
gl-0788.jpg;773.4803886413574;19.246310540966668;16.422808370952197
gl-0242.jpg;419.6377983093262;21.90205761094157;15.691376023018819
gl-1428.jpg;1394.1172828674316;16.68781049688724;39.51210581601819
gl-0886.jpg;388.32780838012695;22.2388186912792;13.12892400132111
gl-1113.jpg;377.06494522094727;22.366642018506695;16.259525554863302
gl-1466.jpg;833.2754592895508;18.92291769216348;35.177396048075224
gl-1247.jpg;748.1504058837891;19.39091444983364;6.910991986779408
gl-1068.jpg;1314.6893119812012;16.942572286005174;23.058581918098042
gl-0379.jpg;1166.0482330322266;17.463638456880563;28.27258065369162
gl-0309.jpg;415.5217056274414;21.94486645893364;15.982714327967841
gl-1339.jpg;804.1896171569824;19.077218992143454;18.956988852318972
gl-0172.jpg;708.5721817016602;19.626962627869478;13.947044675339129
gl-1555.jpg;1186.5974159240723;17.3877696263686;27.567743363952758
gl-1322.jpg;813.5063171386719;19.02719431145353;26.309306448580827
gl-0230.jpg;811.9366149902344;19.0355823413221;35.896836292096594
gl-0265.jpg;948.604419708252;18.359952170959815;17.59730562569777
gl-1418.jpg;1015.4092407226562;18.064392494883165;26.879720560530558
gl-0969.jpg;547.178337097168;20.749514656233092;15.794452476239456
gl-0439.jpg;1129.6995582580566;17.601174019328248;24.29444748168109
gl-1016.jpg;1060.110610961914;17.877291793538912;29.211137496461646
gl-0529.jpg;1153.974021911621;17.50884328709743;39.568499941830595
gl-0638.jpg;902.157527923584;18.577979834870707;12.390252105483086
gl-0782.jpg;747.5082015991211;19.394643988016096;31.239459867314253
gl-0641.jpg;897.1091918945312;18.60235054333083;9.125780364399105
gl-0132.jpg;1051.2672691345215;17.913672178614856;35.82582261856598
gl-0304.jpg;1285.62601852417;17.039657077635777;37.14352367647959
gl-1580.jpg;1057.5541152954102;17.887777613003838;8.869783567269877
gl-0981.jpg;339.60909271240234;22.82101051316145;6.32591538218341
gl-0567.jpg;952.9170722961426;18.340252531060194;6.638070144835837
gl-0240.jpg;865.5048027038574;18.75810878740846;28.41985078327602
gl-0281.jpg;533.4794731140137;20.85962647294525;17.27690190628138
gl-0458.jpg;766.4614639282227;19.285900365425466;16.294053168435056
gl-0853.jpg;1027.381851196289;18.013484712675243;27.57704015185581
gl-0775.jpg;1152.0147438049316;17.51622323523643;26.27391892389616
gl-0952.jpg;1392.834056854248;16.69180983485917;41.25933759410029
gl-0363.jpg;1040.6254196166992;17.957859305586805;11.31680745697426
gl-0151.jpg;685.5907287597656;19.770154248753165;13.748936533270097
gl-1252.jpg;742.5327682495117;19.423647368774095;27.947296925026166
gl-1162.jpg;568.524543762207;20.583311425206674;10.85173428034713
gl-0241.jpg;677.4041366577148;19.82232516474661;7.509756965634182
gl-0266.jpg;1391.621208190918;16.695593221303138;18.09795300338257
gl-1359.jpg;894.5579452514648;18.614718835018007;19.046008542087037
