,precision,recall,f1-score,support
glioma,0.8669527896995708,0.8278688524590164,0.8469601677148847,244.0
meningioma,0.831858407079646,0.704119850187266,0.7626774847870182,267.0
notumor,0.8839285714285714,0.99,0.9339622641509434,300.0
pituitary,0.8964285714285715,0.9507575757575758,0.9227941176470589,264.0
accuracy,0.8725581395348837,0.8725581395348837,0.8725581395348837,0.8725581395348837
macro avg,0.8697920849090899,0.8681865696009645,0.8665985085749763,1075.0
weighted avg,0.8702124555001628,0.8725581395348837,0.8689297634089975,1075.0
