classe,imagem,mse,psnr,brisque
notumor,no-0441.jpg,378.8495,22.3461,36.2882
notumor,no-0442.jpg,14550.8647,6.5019,39.4024
notumor,no-0443.jpg,10070.0331,8.1005,37.8275
notumor,no-0444.jpg,2310.3818,14.494,41.5459
notumor,no-0445.jpg,13298.0839,6.8929,84.8624
notumor,no-0446.jpg,5540.1942,10.6956,30.7024
notumor,no-0447.jpg,7107.0722,9.6139,24.6838
notumor,no-0448.jpg,9215.5128,8.4856,46.6562
notumor,no-0449.jpg,10004.212,8.129,26.0221
notumor,no-0450.jpg,7228.3167,9.5404,18.8444
notumor,no-0451.jpg,6783.5273,9.8162,14.8214
notumor,no-0452.jpg,83.2552,28.9267,50.2157
notumor,no-0453.jpg,2507.0206,14.1392,70.0806
notumor,no-0454.jpg,5592.7535,10.6545,33.0713
notumor,no-0455.jpg,8042.3994,9.0769,38.1752
notumor,no-0456.jpg,6113.8711,10.2676,29.8411
notumor,no-0457.jpg,10341.0368,7.9852,31.6695
notumor,no-0458.jpg,1896.5364,15.3512,41.3686
notumor,no-0459.jpg,3389.7595,12.8291,51.7175
notumor,no-0460.jpg,5349.7798,10.8474,37.8821
notumor,no-0461.jpg,4173.683,11.9256,36.1588
notumor,no-0462.jpg,2873.6624,13.5464,12.3036
notumor,no-0463.jpg,8207.4115,8.9887,52.8915
notumor,no-0464.jpg,63.513,30.1022,34.4408
notumor,no-0465.jpg,2316.6563,14.4822,24.0363
notumor,no-0466.jpg,4890.8486,11.237,25.1194
notumor,no-0467.jpg,4892.4104,11.2356,28.6656
notumor,no-0468.jpg,7581.1203,9.3335,26.3661
notumor,no-0469.jpg,8769.3121,8.7011,28.0691
notumor,no-0470.jpg,9216.894,8.485,46.1026
notumor,no-0471.jpg,9996.4197,8.1324,43.4421
notumor,no-0472.jpg,10685.8981,7.8427,43.766
notumor,no-0473.jpg,4613.2834,11.4907,12.7426
notumor,no-0474.jpg,7847.953,9.1832,47.1659
notumor,no-0475.jpg,798.6142,19.1074,45.7162
notumor,no-0476.jpg,8840.9245,8.6658,49.7959
notumor,no-0477.jpg,3172.5929,13.1167,35.0018
notumor,no-0478.jpg,9190.8429,8.4973,47.8765
notumor,no-0479.jpg,951.9697,18.3446,44.3936
notumor,no-0480.jpg,6248.1969,10.1733,41.1912
notumor,no-0481.jpg,2370.9532,14.3816,33.5992
notumor,no-0482.jpg,7989.147,9.1058,16.7179
notumor,no-0483.jpg,6091.9179,10.2833,44.9321
notumor,no-0484.jpg,7722.1184,9.2534,67.3699
notumor,no-0485.jpg,3902.316,12.2176,39.0308
notumor,no-0486.jpg,4274.5158,11.8219,30.6381
notumor,no-0487.jpg,5308.6206,10.881,13.5129
notumor,no-0488.jpg,5682.8618,10.5851,95.0024
notumor,no-0489.jpg,7055.124,9.6458,45.4794
notumor,no-0490.jpg,6700.0659,9.87,52.1396
notumor,no-0491.jpg,4976.0981,11.1619,69.9022
notumor,no-0492.jpg,9919.85,8.1658,36.0181
notumor,no-0493.jpg,8877.2803,8.648,49.6724
notumor,no-0494.jpg,1793.2823,15.5943,97.5249
notumor,no-0495.jpg,7611.9503,9.3158,35.1274
notumor,no-0496.jpg,5603.512,10.6462,36.0783
notumor,no-0497.jpg,5351.1008,10.8464,26.6415
notumor,no-0498.jpg,6707.1972,9.8654,38.6026
notumor,no-0499.jpg,9215.0761,8.4858,40.8946
